,generations,0,1,2,3,4
0,0,409.76993404061244,493.7069759664485,403.22440488642115,553.263297043744,459.7739213420677
1,1,421.27081437476477,500.45773831299806,427.82429554677395,554.5341719782756,466.8942567303968
2,2,423.5259536366512,505.46752372352165,429.94692826769045,556.5292087926842,468.43129589870733
3,3,426.0807192466151,507.61340960088586,432.0541370441614,558.777254744764,470.1012531628543
4,4,428.40677567112726,511.5243392889827,433.57386317400807,560.8617025267217,471.31786600725803
5,5,429.8992736472396,515.6840206691583,434.7952632479867,562.3168755156047,472.04998009197953
