,generations,0,1,2,3,4
0,0,454.50243961161107,430.10570018673405,547.2317648565335,452.1096246081832,451.99470895758066
1,1,484.88059648119304,431.39741770800254,547.3585126304854,460.4557176565388,477.63913431456257
2,2,485.9369357530147,438.98664625309874,547.3622372873208,461.66513408900624,481.66047605663954
3,3,485.936927470958,439.103709918604,547.3622420526984,462.846669631235,484.85741762419485
4,4,485.936934974479,439.1139693481954,547.3622984702143,463.63153389364845,487.34462392129296
5,5,485.9369347490333,439.11396933956274,547.362319851858,464.153506891427,488.9357001036325
