,generations,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
0,0,436.1174500474029,461.74762754741846,438.69097195237015,435.9630520602474,475.36414815745525,487.914567216444,420.729813781587,378.6311644888381,491.7943709558848,430.926721461137,563.1096097107206,443.81032241355604,424.2809680781658,456.55567397738446,503.0535097273127
1,1,443.11771469676654,484.3731335288547,553.6541638675621,449.0254756692568,476.5379172651937,489.5869839693353,555.4016447879582,435.8593793638123,491.8447498808063,463.3470371961911,567.5558226354616,458.99999256699186,427.1250168475612,437.2791233960652,511.8407959234483
2,2,443.1222551191326,501.76675605289506,556.2649041837701,451.82978511251423,477.18530217944544,490.9608549491108,562.465155757141,447.6371639957065,484.3945654605372,471.15946290434897,567.6590428084012,462.66245787175023,426.316524691496,442.76586699323997,513.4542037622267
3,3,443.1220908558182,504.15153087449283,558.6650184146245,454.75145752019415,477.75562224358066,492.5959299136393,562.6146087640499,448.23795329368926,485.58171685065537,475.233295553031,568.3037328499879,470.81638596512647,428.67465076979954,445.62160940726585,514.7996315223903
4,4,443.1222388148126,505.44158570108766,561.9812937280127,456.45514790213457,478.297334573447,494.11025856013674,562.623332572892,460.02023492301413,486.5156063227597,478.7536318709901,568.125011943408,481.8750035356632,429.9974530219474,451.8554217394053,517.3846774017704
5,5,443.1222542806607,505.9913301938582,563.3394531218127,457.5659897602176,478.7992093409107,495.4374053830795,562.6234865712382,462.1073433540821,487.34965580406373,481.6438253833656,567.427004692578,503.1999298658029,431.26038438176437,455.39375387433375,518.3786083298145
