,best individuals,best Fitnesses
15,"[1, 1, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 62, -32, 316, 61, 55, 123, 53, -1, 111, 46, -33, 275, 60, 23, 213, 53, 12, 83, 70, -79, 216, 72, 18, 148, 37, 38, 135, 64, 46, 189, 59, -87, 156, 67, 21, 87, 66, -33, 103, 47, 54, 115, 70, 36, 112, 62, 67, 94]",666.4017273257205
16,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 34, -35, 318, 42, 3, 22, 58, 45, 242, 67, -86, 255, 54, -80, 296, 45, 40, 295, 70, -29, 306, 51, -8, 176, 64, 25, 333, 46, 25, 58, 50, 13, 310, 37, 6, 110, 59, 51, 299, 33, 47, 320, 44, 71, 52, 60, 6, 174]",666.4865941630524
17,"[0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 47, -9, 4, 56, 80, 203, 49, 9, 281, 55, 3, 41, 42, 37, 274, 49, 71, 160, 47, -70, 58, 39, -82, 118, 56, 36, 111, 59, 60, 320, 39, -69, 25, 57, -53, 143, 45, -18, 344, 59, 28, 147, 54, 8, 77, 52, -89, 265]",666.4030329693718
18,"[1, 1, 0, 0, 0, 0, 0, 1, 0, 0, 1, 1, 0, 0, 1, 0, 72, 26, 339, 59, -13, 276, 71, 72, 150, 45, 3, 65, 37, -12, 287, 72, 55, 98, 71, 47, 253, 57, 41, 128, 68, -17, 59, 64, 83, 326, 67, 70, 189, 37, -52, 326, 33, -71, 350, 72, -58, 105, 61, 3, 300, 58, -52, 32]",666.4017273257205
19,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 48, 48, 19, 60, -6, 170, 44, -25, 88, 51, -38, 278, 71, 39, 195, 49, -66, 158, 61, -67, 44, 70, -69, 242, 72, 75, 157, 52, -25, 349, 59, -81, 309, 58, 54, 61, 51, 11, 264, 42, 85, 121, 60, 40, 278, 55, -68, 245]",666.4017273257205
20,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 62, 15, 3, 40, 44, 65, 40, 3, 248, 51, 27, 359, 46, -26, 282, 63, -76, 244, 64, -59, 272, 66, -80, 94, 61, -26, 116, 43, 59, 247, 44, -15, 269, 43, 62, 207, 39, -31, 174, 38, 79, 77, 68, -72, 110, 49, 23, 318]",666.4017273257205
21,"[0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 35, 38, 332, 39, 50, 22, 54, -7, 152, 68, -30, 88, 47, 9, 234, 68, 87, 328, 66, 4, 77, 48, -27, 130, 60, 29, 53, 65, 12, 117, 70, 46, 65, 51, -77, 77, 46, 15, 202, 50, 38, 36, 57, -61, 279, 51, 76, 245]",666.4017273257205
22,"[0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 35, 6, 217, 69, 81, 208, 60, 66, 353, 54, 44, 241, 37, -49, 165, 56, 84, 288, 54, -38, 9, 46, -18, 22, 59, -59, 169, 57, 54, 92, 55, 73, 12, 66, 55, 124, 59, -17, 121, 53, -34, 118, 32, -18, 330, 49, -10, 10]",666.4017273257205
23,"[0, 0, 1, 1, 0, 1, 0, 0, 0, 0, 0, 1, 1, 0, 0, 1, 72, -47, 240, 68, -80, 296, 39, 24, 83, 50, -42, 103, 70, -49, 257, 40, 84, 126, 45, -62, 185, 67, 4, 51, 46, 59, 355, 49, -89, 59, 53, 4, 247, 40, 62, 337, 53, -80, 189, 49, 11, 209, 45, -65, 120, 63, -87, 297]",666.4865941630524
24,"[0, 0, 1, 1, 0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 1, 1, 33, 60, 156, 47, 6, 168, 49, -9, 217, 40, -40, 187, 58, 15, 211, 45, -13, 56, 65, -8, 322, 60, 59, 62, 64, 31, 179, 68, -37, 333, 37, -3, 51, 51, 73, 252, 65, 34, 238, 35, -54, 337, 62, 31, 204, 70, 15, 61]",666.4865941630524
25,"[1, 1, 0, 0, 0, 1, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 41, -3, 188, 52, -47, 236, 61, 10, 156, 37, 32, 330, 72, -4, 116, 36, 22, 210, 39, -38, 43, 32, -88, 312, 69, 52, 103, 70, -16, 142, 57, -66, 293, 49, 77, 160, 33, 15, 273, 71, -65, 35, 60, 30, 56, 70, 11, 130]",666.4017273257205
26,"[0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 67, 8, 52, 54, 5, 98, 63, -7, 301, 46, 52, 45, 69, 74, 121, 67, 88, 125, 67, -67, 12, 38, 7, 209, 58, -42, 0, 35, 80, 306, 63, 58, 343, 47, -69, 227, 53, 51, 263, 61, -6, 224, 35, -39, 233, 65, 72, 270]",666.4017273257205
27,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 65, 31, 139, 42, 59, 83, 71, -4, 200, 54, 17, 54, 49, 77, 306, 34, 85, 86, 66, 24, 345, 68, -52, 206, 47, -29, 34, 34, 65, 100, 46, -65, 217, 33, 58, 184, 36, -86, 34, 71, -53, 152, 69, 1, 166, 41, 43, 87]",666.4017273257205
28,"[0, 0, 0, 0, 0, 0, 1, 0, 1, 1, 1, 0, 1, 0, 0, 0, 41, -58, 66, 71, -44, 58, 32, -32, 209, 47, 18, 188, 40, 17, 360, 42, -58, 190, 62, 49, 98, 51, 56, 226, 42, 77, 263, 39, 59, 139, 46, -19, 188, 35, 69, 268, 51, 13, 251, 62, 26, 294, 37, 33, 159, 53, 79, 251]",666.4017273257205
29,"[1, 0, 1, 0, 0, 1, 1, 1, 0, 1, 0, 0, 1, 0, 0, 0, 70, -49, 299, 59, 28, 25, 37, -48, 120, 51, 15, 104, 58, 47, 113, 36, -18, 179, 54, 86, 226, 55, -68, 7, 65, -84, 159, 40, 2, 187, 69, -84, 23, 45, 39, 233, 60, 70, 54, 59, -34, 177, 35, -16, 327, 56, -7, 130]",666.4852885194011
