,best individuals,best Fitnesses,best Sigmas
0,"[1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 47.00201856133229, 21.002018561332278, 346.0020185613323, 33.00201856133229, 0.0020185613322809184, 234.0020185613323, 36.00201856133229, 0.0020185613322809184, 321.0020185613323, 53.00201856133229, 37.00201856133229, 3.002018561332281, 58.00201856133228, 55.00201856133229, 78.00201856133226, 37.00201856133229, 34.00201856133229, 335.0020185613323, 51.00201856133229, 33.00201856133229, 250.0020185613323, 32.62137547397211, 0.7543330592754804, 232.0020185613323, 43.00201856133229, 42.00201856133229, 24.002018561332278, 62.002018561332285, 15.002018561332276, 0.35356601224765555, 38.00201856133229, 21.002018561332278, 25.002018561332278, 32.353566012247654, 75.00201856133226, 116.00201856133226, 58.00201856133228, 64.00201856133226, 63.002018561332285, 46.00201856133229, 22.002018561332278, 10.00201856133228, 42.00201856133229, 25.002018561332278, 71.00201856133226, 49.00201856133229, 47.00201856133229, 282.0020185613323]",462.94702436900104,0.25232986958814807
1,"[0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 32.843413130377066, 21.953592606090968, 219.95359260609098, 60.95359260609098, 55.95359260609096, 350.9535926060909, 39.95359260609096, 4.9535926060909645, 109.95359260609098, 62.953592606090986, 37.95359260609096, 105.95359260609098, 62.953592606090986, 0.4917588352454436, 248.95359260609098, 55.95359260609096, 51.95359260609096, 350.9535926060909, 54.95359260609096, 8.953592606090966, 304.9535926060909, 32.49175883524544, 62.953592606090986, 101.95359260609098, 57.953592606090965, 43.95359260609096, 258.9535926060909, 48.95359260609096, 1.008956142000706, 29.953592606090957, 38.95359260609096, 45.95359260609096, 339.9535926060909, 32.66316726252635, 41.95359260609096, 104.95359260609098, 41.95359260609096, 1.008956142000706, 321.9535926060909, 50.95359260609096, 37.95359260609096, 331.9535926060909, 53.95359260609096, 62.953592606090986, 207.95359260609098, 62.953592606090986, 32.95359260609096, 141.95359260609098]",521.9759155537041,0.34584682088362606
2,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 36.637573898538356, 59.637573898538356, 136.63757389853836, 71.63757389853835, 52.637573898538356, 325.6375738985383, 68.63757389853835, 13.637573898538356, 77.63757389853835, 65.63757389853836, 26.637573898538363, 295.6375738985383, 57.637573898538356, 29.637573898538363, 251.63757389853836, 66.63757389853836, 56.637573898538356, 311.6375738985383, 51.637573898538356, 49.637573898538356, 359.6375738985383, 66.63757389853836, 84.63757389853835, 286.6375738985383, 57.637573898538356, 18.63757389853836, 154.63757389853836, 58.637573898538356, 84.63757389853835, 290.6375738985383, 69.63757389853835, 79.63757389853835, 315.6375738985383, 48.637573898538356, 54.637573898538356, 133.63757389853836, 69.63757389853835, 58.637573898538356, 128.63757389853836, 65.63757389853836, 63.637573898538356, 322.6375738985383, 69.63757389853835, 19.637573898538363, 131.63757389853836, 69.63757389853835, 32.637573898538356, 276.6375738985383]",518.2319386021145,1.280513629616249
3,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 32.04533994346302, 46.12685177693761, 61.12685177693761, 53.12685177693761, 21.126851776937624, 0.04533994346302428, 55.12685177693763, 23.12685177693762, 0.6060953832660948, 52.12685177693761, 77.12685177693763, 49.12685177693761, 42.12685177693761, 14.126851776937626, 0.03314043675170408, 56.12685177693763, 12.126851776937627, 135.12685177693763, 33.12685177693761, 56.12685177693763, 32.12685177693761, 53.12685177693761, 57.12685177693763, 264.12685177693766, 33.44667202628993, 69.12685177693763, 259.12685177693766, 50.12685177693761, 51.12685177693761, 274.12685177693766, 46.12685177693761, 9.126851776937627, 0.010624105134503736, 55.12685177693763, 13.126851776937627, 240.12685177693763, 32.033140436751694, 53.12685177693761, 345.12685177693766, 36.12685177693761, 72.12685177693763, 147.12685177693763, 34.12685177693761, 65.12685177693763, 228.12685177693763, 34.12685177693761, 24.12685177693762, 208.12685177693763]",511.9922554088407,0.2184732479071859
4,"[1, 1, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 1, 0, 0, 62.77485425373088, 19.77485425373088, 3.774854253730878, 48.77485425373088, 75.77485425373088, 67.77485425373088, 65.77485425373088, 34.77485425373088, 122.77485425373088, 35.77485425373088, 0.22514574626912204, 100.77485425373088, 38.77485425373088, 49.77485425373088, 26.77485425373088, 57.77485425373088, 22.77485425373088, 265.7748542537309, 52.77485425373088, 49.77485425373088, 333.7748542537309, 66.77485425373088, 59.77485425373088, 108.77485425373088, 64.77485425373088, 70.77485425373088, 331.7748542537309, 48.77485425373088, 18.77485425373088, 301.7748542537309, 50.77485425373088, 54.77485425373088, 83.77485425373088, 65.77485425373088, 54.77485425373088, 169.77485425373087, 55.77485425373088, 13.774854253730878, 349.7748542537309, 66.77485425373088, 66.77485425373088, 179.77485425373087, 54.77485425373088, 44.77485425373088, 186.77485425373087, 58.77485425373088, 7.774854253730878, 176.77485425373087]",489.2936143430642,0.43666926406702006
5,"[0, 1, 0, 0, 1, 0, 1, 0, 0, 1, 0, 0, 1, 0, 0, 0, 61.22440621738259, 21.224406217382597, 310.2244062173825, 46.22440621738259, 0.3202397253184667, 129.22440621738264, 39.22440621738259, 68.22440621738258, 155.22440621738264, 45.22440621738259, 14.2244062173826, 249.2244062173826, 33.23766166179262, 29.224406217382583, 261.2244062173825, 32.548730928894294, 12.224406217382601, 306.2244062173825, 58.22440621738259, 70.22440621738258, 136.22440621738264, 37.22440621738259, 9.2244062173826, 299.2244062173825, 33.23766166179262, 70.22440621738258, 214.22440621738264, 48.22440621738259, 69.22440621738258, 163.22440621738264, 32.44983611310237, 0.7317793906913126, 128.22440621738264, 32.332541268321826, 37.22440621738259, 147.22440621738264, 59.224406217382594, 60.224406217382594, 295.2244062173825, 61.22440621738259, 0.9307482533121749, 30.224406217382583, 32.320239725318466, 0.3325412683218333, 316.2244062173825, 52.22440621738259, 22.224406217382597, 167.22440621738264]",429.46122821072606,0.6739280008886385
6,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 39.15459973990706, 14.154599739907068, 251.15459973990707, 42.15459973990706, 30.15459973990707, 34.15459973990706, 44.15459973990706, 58.15459973990706, 189.15459973990707, 68.15459973990707, 23.15459973990707, 271.15459973990704, 36.15459973990706, 21.15459973990707, 354.15459973990704, 59.15459973990706, 61.15459973990706, 97.15459973990707, 71.15459973990707, 31.15459973990707, 200.15459973990707, 68.15459973990707, 79.15459973990707, 161.15459973990707, 40.15459973990706, 41.15459973990706, 20.15459973990707, 57.15459973990706, 48.15459973990706, 216.15459973990707, 56.15459973990706, 39.15459973990706, 75.15459973990707, 69.15459973990707, 34.15459973990706, 203.15459973990707, 46.15459973990706, 67.15459973990707, 249.15459973990707, 43.15459973990706, 6.154599739907069, 358.15459973990704, 48.15459973990706, 24.15459973990707, 177.15459973990707, 64.15459973990707, 26.15459973990707, 201.15459973990707]",471.186805746829,0.7939370374466148
7,"[0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 71.95241598976102, 18.952415989761025, 327.95241598976105, 70.95241598976102, 55.95241598976102, 150.95241598976102, 55.95241598976102, 59.95241598976102, 93.95241598976102, 43.95241598976102, 10.952415989761024, 249.95241598976102, 62.95241598976102, 54.95241598976102, 316.95241598976105, 54.95241598976102, 50.95241598976102, 324.95241598976105, 65.95241598976102, 24.952415989761025, 251.95241598976102, 39.95241598976102, 29.952415989761025, 315.95241598976105, 59.95241598976102, 86.95241598976102, 73.95241598976102, 37.95241598976102, 24.952415989761025, 70.95241598976102, 47.95241598976102, 41.95241598976102, 65.95241598976102, 62.95241598976102, 73.95241598976102, 36.95241598976102, 59.95241598976102, 53.95241598976102, 91.95241598976102, 63.95241598976102, 63.95241598976102, 244.95241598976102, 43.95241598976102, 46.95241598976102, 254.95241598976102, 58.95241598976102, 50.95241598976102, 75.95241598976102]",460.22896822286555,0.7917431562463255
8,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 38.13458613938681, 44.13458613938681, 149.1345861393868, 54.13458613938681, 4.13458613938682, 152.1345861393868, 35.01400654914319, 40.13458613938681, 280.13458613938684, 41.13458613938681, 72.92064856342269, 211.1345861393868, 62.13458613938683, 57.13458613938681, 339.92064856342273, 58.13458613938682, 70.13458613938683, 125.13458613938681, 40.13458613938681, 77.13458613938683, 234.1345861393868, 59.13458613938682, 79.13458613938683, 89.13458613938683, 64.13458613938683, 72.92064856342269, 53.13458613938681, 54.92064856342268, 50.13458613938681, 52.13458613938681, 46.13458613938681, 78.13458613938683, 302.13458613938684, 54.92064856342268, 42.13458613938681, 196.1345861393868, 44.13458613938681, 31.134586139386805, 95.13458613938683, 56.13458613938681, 20.134586139386812, 349.13458613938684, 59.13458613938682, 75.13458613938683, 235.1345861393868, 58.13458613938682, 13.134586139386817, 310.13458613938684]",508.1681254967689,0.6753902428766628
9,"[0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 34.3278464731256, 42.3278464731256, 147.3278464731256, 33.3278464731256, 80.32784647312559, 62.3278464731256, 50.3278464731256, 73.32784647312559, 306.3278464731256, 42.3278464731256, 56.3278464731256, 69.32784647312559, 62.3278464731256, 17.327846473125597, 35.3278464731256, 63.3278464731256, 40.3278464731256, 225.3278464731256, 56.3278464731256, 50.3278464731256, 347.3278464731256, 56.3278464731256, 83.32784647312559, 107.32784647312559, 70.32784647312559, 50.3278464731256, 69.32784647312559, 64.32784647312559, 36.3278464731256, 48.3278464731256, 51.3278464731256, 85.32784647312559, 156.3278464731256, 43.3278464731256, 65.32784647312559, 26.327846473125597, 63.3278464731256, 75.32784647312559, 346.3278464731256, 51.3278464731256, 82.32784647312559, 114.32784647312559, 41.3278464731256, 55.3278464731256, 80.32784647312559, 48.3278464731256, 77.32784647312559, 347.3278464731256]",500.2572790971624,0.9191382877516372
