,generations,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29
21,21,546.400939932746,380.90036382862047,553.9017273257197,481.9041570182996,508.918739862496,517.9050478961099,504.41868587256556,603.4002946657242,466.9015084365533,511.40115920192846,492.40113222079873,543.9007879263805,588.4010801586185,517.9183010092823,457.41191134619976,512.4012827071004,475.4246379516566,470.4010603977911,462.9081275364104,488.40889906155337,569.9033483874928,498.4083221045584,570.9014556143412,542.4107408646013,540.4004721331561,509.40169160422397,581.9015992603568,478.405575451036,539.9233423845685,559.9318070753492
22,22,548.400693302418,381.90019358149107,565.9017273257197,490.4066642341259,510.41704252574925,526.4067699338909,495.9237786428374,601.9003687688273,472.9013381894238,518.4011097998596,505.90125572597077,550.9006898822748,583.4012747267664,511.9157310631599,460.4093653410798,507.9013568102039,467.42463757164046,463.4008627895158,461.4088545996914,516.4115191697764,573.9025131555718,493.41266273049905,573.901381511238,540.9131503081128,547.9004250111826,507.4016707033487,585.4015509983357,487.90460327749065,525.4191226036883,567.9284642475861
23,23,550.9007442245504,377.40021828252543,559.9017273257197,504.90833659804747,513.9187268060595,524.9050231950754,509.42293301459125,596.40026996469,482.4013138684053,522.9010603977908,509.9011580618808,536.9004922739995,585.4013001878325,518.4191986997088,463.4093653410797,506.90130740813487,471.42718509682425,461.90081338744693,457.90895188376527,522.9132168865392,571.4017026246853,501.911038356808,576.4014803153757,536.9106406486251,543.900353568191,499.9016691832849,584.901527057333,498.4053531417264,525.9131826851069,566.9284631075384
24,24,551.4008673497066,376.90019396150706,538.4017273257197,502.9058556033191,522.9212858676161,523.4059212655176,500.42717635645795,602.4003193667587,482.9011922633129,515.9010850988251,481.900985534656,547.9004675729651,582.9013758109994,511.4166526945887,460.40766800433295,495.9012333050317,465.9271850968242,447.4006157791718,445.4106492205121,535.9175084904269,567.4016532226165,507.41103835680786,570.401381511238,534.4112888850459,536.4002053619846,499.90171934538563,581.4014286332115,487.90542724482947,505.4089594840836,581.430968803301
25,25,549.4009178918232,375.9000719763987,535.4017273257197,500.9049952903478,526.9204241428062,521.9016285215821,502.4263273080689,604.4002452636555,493.9009976951649,517.400936892619,492.90101061570624,546.9000970574491,589.9013769510472,508.41577932518084,462.40766800433295,492.4012580060662,458.9280352852613,448.40071458330937,441.91072218356743,542.9217769133439,568.4017026246853,510.41009240436074,573.4013321091693,546.9071761075444,534.4001783808545,503.4017170652901,587.9015278173648,489.90717398364507,508.4089351630654,598.9343123910958
26,26,551.4011139800348,366.8999518913697,551.9017273257197,514.9066661342055,513.9144965206293,515.4015297174445,506.42547939972735,606.900220562621,489.40111930025733,529.4007639853781,493.4010843387935,553.900146459518,585.4013522500127,502.4131352759551,461.9085166727063,500.4014803153758,463.42888357361863,454.90091219158467,440.910746504586,552.4269430266871,566.9016779236509,514.9118383831442,575.9013321091694,540.4088081621085,538.9003254470132,503.90171554522647,578.9015019762827,492.9071739836449,509.9088610599621,602.9343142911753
27,27,557.4011390610849,365.3998789283143,555.4017273257197,512.4100085819528,515.9162199702489,517.901430913307,507.9271778765219,609.9001217584835,503.9010949792389,517.90088749055,496.9011584418967,547.9000723564147,597.9014008920497,506.9102962785653,460.9068193359597,502.9015050164102,463.9331276755172,460.9009368926191,439.9098978362128,543.4210027280895,572.9017026246853,497.91098971477084,569.401258006066,539.4071979849016,535.9003471079204,502.4017163052582,586.4016498024732,481.90542724482964,502.9037922306927,608.9359862750807
28,28,558.4012127841722,363.89983028627734,539.4017273257197,514.4083373580792,534.9102792916356,514.4013568102035,496.93396836355646,611.400220562621,487.90104633720193,508.40103569675637,486.90101023569025,551.3999735522772,599.4013739109198,495.906078017749,452.4068193359597,504.4015297174445,462.9322782471118,462.90083808848146,460.91256544642516,551.9244221026174,571.9016779236509,513.4084193886323,571.9012580060661,538.9087079461324,531.4002733848331,498.4017144051788,581.9016988245262,482.40545194586406,496.9037910906452,601.4376571189385
29,29,558.4013355293124,365.3998302862773,532.4017273257197,506.41079441180483,550.411101847136,514.4013321091692,501.42887521326855,609.9003687688277,493.9011679422944,514.4008380884814,491.9011580618808,542.8999241502083,602.4012268447611,508.9102476365286,451.4068193359597,496.4015544184789,460.93227862712797,461.4007886864125,463.91516009358224,552.9219251195503,563.4016285215822,507.4084437096509,570.9012333050317,538.9111537352761,532.4003721889709,497.90171516521053,583.4017235255606,479.90447977231867,510.4055161685534,605.9384934909071
30,30,551.9013093082145,365.89990324933274,533.4017273257197,511.91671665841784,538.4127861274461,516.9013074081349,506.42548015975916,602.9002946657242,506.90111930025733,525.9007145833092,507.4011094198437,545.4001958615868,607.9013511099649,491.90530269244715,454.9085166727063,496.4014803153757,455.92973300202385,453.40066518124064,471.4142871041903,552.4261927824354,566.4016285215821,505.90839506761387,576.4013074081348,542.4087093579711,537.9005428161162,504.9017140251628,587.4017242855924,464.9044797723187,525.4055431496834,610.4318085954128
31,31,547.4011850430106,366.3998789283143,517.9017273257197,526.4149956524595,545.9110626778264,518.4012827071004,499.43057331004707,596.4003193667587,510.9009733741464,523.9006404802061,499.90106001777514,539.90026996469,592.9013283090102,488.90627296591293,458.90851667270647,509.4013568102037,470.4365223490106,447.9005663771031,489.9117654200889,558.428763108574,565.9015544184789,519.4092194149687,575.9013568102038,544.9036071149717,544.4006667013041,507.40171364514686,590.4017227655288,465.9053531417265,542.4063929581044,598.4326445873653
