,generations,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
0,0,357.5084555295801,429.9965628541699,492.7101199778709,423.9454102005352,402.9942106245628,407.40674477058883,496.5800871452955,384.4125642030717,503.68841062958285,459.0380113888537,461.14356174221143,454.4220713017975,362.4862207094555,417.5370729590109,454.00498646785576
1,1,463.52480068325536,496.31446251250395,520.9358038611512,423.8965337436346,406.7157356798444,418.101770708353,498.5601300711008,390.12421718953914,537.7680011163671,462.7795516366449,451.715054428784,467.4333556845088,388.7492337650066,454.0252058923035,454.7515752402079
2,2,463.5253361275006,500.6548323005339,550.1156510565145,413.09324494687485,411.41274799898076,425.0472933254545,499.32786895348335,398.4400316180888,541.0893965502214,465.40470518777096,493.67958394210376,468.9393895360701,431.15261568010055,462.6858976532788,455.3403343702118
3,3,463.52536331047486,502.9308381721856,577.7908607323816,413.8050125703646,415.85830399096085,426.7316013372897,505.42553178306065,394.6190459576171,544.1797788418204,465.4691408147375,520.4906588337508,469.7852279724378,432.3644320543979,463.98131777838455,455.6040873839071
4,4,463.5253632390915,504.9727213703536,578.5582710294315,415.2312258344321,420.78026557798415,428.1894184256048,504.05684516690167,394.94785581314625,547.5698805199797,467.39434228011777,520.6630489130017,471.6592120407682,433.28467714936704,465.23791481083475,455.75406476828647
5,5,463.5253632622334,506.46981595267744,578.7123076950048,413.09347677162293,425.09891106582603,429.4300519960312,508.5640499680087,397.33652271611686,550.2789339778732,467.66607220352614,520.6725831689503,474.31504671848484,433.94322833000183,466.3924631786238,455.80950012017485
