,generations,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
0,0,429.4212664360582,407.82008828962773,451.4667259562687,430.1022610719504,363.2012325471931,468.1694430156592,455.79899794709803,548.1514293264863,372.20367971068845,421.699846471882,428.07050165694073,448.5182376555589,421.51084910762125,385.75022245624876,405.73758430701645
1,1,436.2138551390308,427.33078495453515,562.9692669732768,471.9964451233184,382.5873219232029,472.26175072492447,503.6680898241959,554.9116144430914,395.15727992308814,445.5331170323572,540.8739225424224,465.14335814708124,435.7191905890528,400.4808334690824,439.0491156531671
2,2,443.1066654309258,433.81018527062173,563.3753706959801,480.4154413913199,389.1760974249127,473.5412516994194,583.9633176948745,557.6377385299172,426.55389090337246,453.9502214702604,541.0584003406234,467.5133586802982,442.19048559078726,406.79638913142196,444.76366199823264
3,3,448.44929925053015,439.16690513273016,563.4393570309171,483.25755162880677,392.21303478261706,474.7976013625424,585.6975844005717,558.178941782721,428.98522003669905,461.34525314703046,541.1109856381157,469.7534464630007,448.8951186008068,407.85620239864113,450.91646197059185
4,4,452.1241413655545,440.9941499246055,563.439476118696,485.20801302138665,394.9209374932099,475.8503970226652,588.4249007536049,558.1986999636952,430.5142512032661,465.8320041183742,541.1140696792139,472.2893847632045,453.7090921347613,412.57768373353167,453.4988784926052
5,5,456.74485230584685,441.01795918153783,563.4396017465785,486.61613063975346,397.1367107303251,476.89295320829376,590.0755470977595,558.1988817721565,432.5296310164006,470.47419907458965,541.1140881031124,474.8167056761493,457.22273071467714,418.7358512438826,455.5237814397512
