,generations,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
0,0,432.5670276179038,395.05829393384295,445.6602568068098,430.0203262564826,385.9348018147016,413.5186279079046,469.2464299913081,449.39156882902023,387.7654690399946,421.3023403516465,438.4732281380168,465.5358567447685,436.38739369168894,465.40724821861954,442.48506276510716
1,1,448.8805750902424,420.7884526429468,476.3867899278232,463.19530895561036,395.22779701799436,417.73062134433735,476.2596962144146,452.5706722779386,474.36238891161304,425.8344810172166,473.02951915229335,470.4618099407,470.02357844153585,507.48618711879413,455.45386727737235
2,2,513.5231198184493,429.2953782928354,485.86380601311555,473.45757650675046,403.2648602133266,421.28724281813425,477.3976055400695,452.571774135067,475.99765029138916,431.1623586834936,474.54687727333936,475.8622921045247,474.4625015814594,509.78305640344433,476.6812078099364
3,3,515.7393228618403,438.3290502921149,493.5282839189523,481.99251069562916,405.58687819011595,425.383770027979,478.9615035928595,452.5717754755401,477.82135999090707,435.04430581220157,476.27727657506074,479.97360778655525,477.9129894373273,511.3545285731831,480.79122957126515
4,4,517.1552263422693,442.87698216478765,497.94180992684625,488.85737896252516,407.674410864171,431.4809823224695,480.42079330793575,452.57177550100937,478.87492793096027,439.627646719262,478.5765361501139,482.4121640976085,482.5021345130445,512.1958995635982,483.1925490212394
5,5,517.6781464350299,445.04612093553226,502.0229724072305,494.7328206477069,409.3777766871413,436.49116160082934,481.26759521805684,452.5717755751339,479.5694639554194,443.4976947955657,480.798384897855,484.0970919992061,484.32222136837737,512.8244761205641,484.87174156927495
